title,text
"Branded Websites, Presentations, Dashboards, and PDFs with Quarto","## Session Title: Branded Websites, Presentations, Dashboards, and PDFs with Quarto

**Speakers:** 
Isabella Velásquez , Sr. Product Marketing Manager, Posit  
  
Sara Altman , Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Hanover DE

**Session Info:**  
Join us for a hands-on, one-day workshop at posit::conf(2025), where we’ll explore the versatility of Quarto output formats. Designed for data scientists, analysts, and content creators, this immersive session will teach you how to craft cohesive reports and presentations while refining your workflow with Quarto’s latest features.  
  
You will learn how to create dynamic websites, professional PDF documents, engaging presentations, and interactive dashboards using Quarto. This workshop highlights Quarto's powerful theming capabilities, including the new support for brand.yml, which ensures that your work maintains a professional and cohesive style across all formats.  
  
By the end of the session, you’ll be equipped to:  
Build and deploy Quarto websites.  
Generate professional presentations and PDF reports.  
Create interactive dashboards for data visualization and reporting.  
Use brand.yml to define and apply consistent theming across all outputs.  
Whether you're looking to enhance your personal projects or streamline organizational outputs, this workshop will equip you with the tools to create polished, professional results.  
  
"
Causal Inference in R,"## Session Title: Causal Inference in R

**Speakers:** 
Malcolm Barrett , Research Software Engineer, Stanford University  
  
Lucy D'Agostino McGowan , Assistant Professor, Wake Forest University

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Greenbriar

**Session Info:**  
In this workshop, we’ll teach the essential elements of answering causal questions in R through causal diagrams, and causal modeling techniques such as propensity scores and inverse probability weighting.  
  
In both data science and academic research, prediction modeling is often not enough; to answer many questions, we need to approach them causally. In this workshop, we’ll teach the essential elements of answering causal questions in R through causal diagrams, and causal modeling techniques such as propensity scores and inverse probability weighting. We’ll also show that by distinguishing predictive models from causal models, we can better take advantage of both tools. You’ll be able to use the tools you already know–the tidyverse, regression models, and more–to answer the questions that are important to your work.  
  
This workshop is for you if you:  
know how to fit a linear regression model in R,  
have a basic understanding of data manipulation and visualization using tidyverse tools, and  
are interested in understanding the fundamentals behind how to move from estimating correlations to causal relationships."
Data Science Workflows with Posit Tools - R Focus,"## Session Title: Data Science Workflows with Posit Tools - R Focus

**Speakers:** 
Katie Masielo , Solutions Engineer, Posit  
  
Ryan Johnson , Data Science Advisor, Posit, PBC

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Embassy E

**Session Info:**  
In this R-focused workshop, we will discuss ways to improve your data science workflows! During the course, we will review packages for data validation, alerting, modeling, and more. We’ll use Posit’s open source and professional tools to string all the pieces together for an efficient workflow. We’ll discuss environments, managing deployed content, working with databases, and interoperability across data products.  
  
This course is for you if you:  
  
Build finished data products starting from raw data and are looking to improve your workflow  
Are looking to expand your knowledge of Posit open source and professional tools  
Want to improve interoperability between data products in your work or on your team  
Have experience developing in R. An analogous course with a Python focus is also offered.  
  
"
Data Science Workflows with Posit Tools - Python Focus,"## Session Title: Data Science Workflows with Posit Tools - Python Focus

**Speakers:** 
Sam Edwardes , Senior Solutions Engineer, Posit  
  
Michael Beigelmacher , Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Embassy F

**Session Info:**  
This Python-focused workshop will discuss ways to improve your data science workflows! During the course, we will review packages for data validation, alerting, modelling, and more. We’ll use Posit’s open-source and professional tools to string all the pieces together for an efficient workflow. We’ll discuss environments, managing deployed content, working with databases, and interoperability across data products.  
  
This course is for you if you:  
  
Build finished data products starting from raw data and are looking to improve your workflow  
Are looking to expand your knowledge of Posit open source and professional tools  
Want to improve interoperability between data products in your work or on your team  
Have experience developing in Python. An analogous course with an R focus is also offered  
  
"
Data Talks: How to make your data science accessible,"## Session Title: Data Talks: How to make your data science accessible

**Speakers:** 
Blythe Coons , Executive Speech Coach, Articulation  
  
Acacia Duncan , Director of Coaching and Training, Articulation

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Embassy B

**Session Info:**  
Data insights won’t speak for themselves.  
  
For the past five years, Articulation has been coaching all of the breakout session, keynote, and lightning talk speakers at posit::conf. We’ve heard time and again that the final leg of the data journey, communicating your data insights, is incredibly difficult. Being able to speak about your insights with clarity to non-data stakeholders can be the difference between your hard work leading to change and action or leading nowhere at all.  
  
This workshop is not about dashboards or visualization. It’s about what you say and how your audience hears you.  
  
The Promise: In this highly interactive, NO CODE workshop, you will work with your peers to learn how to frame your insights so that stakeholders with varying levels of understanding will listen. From determining what data you need to share, to helping your audience ask the right questions, to using storytelling to ensure they connect, you’ll enhance your ability to communicate your work with clarity, concision, and confidence.  
What you’ll learn:  
What data to gather about your audience  
A formula for setting the necessary context  
A formula for creating a bottom-line action-oriented one-sentence statement  
Strategies for when to use data and when to use story and metaphor  
Strategies for laddering complex insights  
Who it’s for: You’re a mid-senior-level leader who needs to translate complex insights into actionable communications. You often find yourself presenting to non-data colleagues (C-Suite, HR, Sales, Finance, etc.). Your data skills are top-notch, and you want to make a bigger impact by improving your data communication.  
  
About Articulation: Articulation is more than just a public speaking training and executive coaching company. We see ourselves as a service to communities and organizations — large and small, public and private — that can help their executives and rising stars become better storytellers and better public speakers. Our clients come from Fortune 500 companies, internationally recognized education and research institutions, philanthropic organizations, and entrepreneurs eager to grow their businesses. Individuals from across the business spectrum also turn to us to obtain the presentation, public speaking, and storytelling skills to advance their careers and lead the people and companies they work for."
Deploying reproducible analytics environments for regulated use cases,"## Session Title: Deploying reproducible analytics environments for regulated use cases

**Speakers:** 
James Black , Executive Director, Technology and Scientific Computing, Novartis  
  
Orla Doyle , Data Scientist, Novartis  
  
Doug Kelkhoff , Roche  
  
Michael Mayer , Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** International South

**Session Info:**  
The deployment of reproducible analytical environments is a critical topic in the regulated industries, especially for meeting regulatory requirements and ensuring reproducibility in research. This workshop aims to explore the multifaceted challenges and opportunities associated with provisioning and deploying R-based environments, drawing from experiences of deploying enterprise-scale analytical environments for regulatory filings.  
  
Our session will address the following key questions and themes:  
Actionability of Containers for R Deployments: Evaluating the feasibility and effectiveness of using containers to deploy R-based environments for clinical and regulatory use. The discussion will include scaling with clinical use cases and polyglot analyses.  
Industry-Standard Base Images: Consider whether and how a standard industry base image could streamline health authority buy-in and compliance processes.  
Selecting Packages: Identifying essential qualities to assess for package selection, discussing the categorization of risk and respective activities for high-risk uses.  
Pharma-Specific Package Testing: Debating the necessity for pharma-specific testing of public packages and envisioning potential shared solutions for package validation and vulnerability tracking.  
Does this align with a path to sharing environments with regulators: Examining the practicality of sharing containerized analyses with health authorities, taking into account OS differences?  
Compliance with the EU Cybersecurity Resilience Act: Outlining expectations and requirements for public R repositories to support compliance with recent cybersecurity legislation.  
Provisioning packages to users: Historically, there is a preference to bundle packages into an environment rather than use a repository snapshot. Using learnings from companies that have de-coupled R packages from operating systems, how can we balance the burden of validation and qualification against the need for open source to be able to deploy packages continuously and empower teams with the agility to move between more granular package cohorts snapshots?  
  
The workshop will blend insight from those who have navigated these challenges with discussions on current solutions and methodologies. Our goal is to foster a community dialogue that highlights existing implementations and explores diverse perspectives without imposing a single opinionated process. This workshop will be a mixture of sharing, discussion, and exercises.  
  
Join us for a robust discussion to share experiences, identify best practices, and contribute to a collective understanding of deploying validated R packages in a compliant and efficient manner within highly regulated industries.  
  
Target Audience: This workshop is ideal for data scientists, statisticians, IT professionals, and regulatory compliance experts interested in deploying R packages in highly regulated environments."
End-to-End Submissions in R with the Pharmaverse,"## Session Title: End-to-End Submissions in R with the Pharmaverse

**Speakers:** 
Becca Krouse , GSK  
  
Daniel Sjoberg , Genentech

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** International North

**Session Info:**  
Ready to optimize your regulatory submission process? This workshop offers a practical, end-to-end introduction to using R for a streamlined workflow from raw data to tables, listings, and graphs (TLGs). We'll dive into the power of key R packages from the Pharmaverse, starting with SDTM data preparation; learn to effortlessly map, transform, and validate your data to CDISC standards, ensuring both quality and compliance. Next, create ADaM datasets using modular and pipe-able syntax. Finally, get ready to generate compelling TLGs supported by Analysis Results Datasets (ARDs). We'll explore techniques for producing publication-ready output, customized to meet your specific reporting needs. Walk away with the skills to confidently use R for every stage of the submission process."
Exploratory Data Analysis with Python Polars,"## Session Title: Exploratory Data Analysis with Python Polars

**Speakers:** 
Jeroen Janssens , Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Embassy D

**Session Info:**  
Join us for a hands-on workshop focused on Polars, a high-performance data processing package for Python. We’ll dive into Polars’ powerful features and show you how to use it for real-world tasks like data wrangling, exploratory data analysis, and building pipelines. Whether you’re new to Polars or looking to transition from other packages like pandas, this workshop will help you quickly master its expressive API and underlying concepts.  
  
You’ll learn how to:  
Efficiently process data from various sources like CSV, Parquet, and spreadsheets  
Get a solid understanding of expressions, the building blocks of every query  
Utilize Polars' eager and lazy APIs, understanding when to apply each  
Work with complex data types, including time, text, and nested structures  
Visualize DataFrames with packages like Altair, plotnine, and Great Tables  
  
This workshop is ideal for data scientists and data engineers looking to enhance their workflows and improve performance at scale. By the end, you’ll understand why everybody says: Polars come for the speed, stay for the syntax."
Extending Quarto,"## Session Title: Extending Quarto

**Speakers:** 
Mine Cetinkaya-Rundel , Professor + Developer Educator, Posit  
  
Charlotte Wickham , Developer Educator, Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** The Learning Center

**Session Info:**  
In this workshop, we will dive deep into ways of customizing your Quarto outputs with tooling beyond built-in features. This workshop is designed for data scientists, analysts, and technical writers looking to extend Quarto's capabilities to suit their unique workflows better.  
  
Participants will learn how to create custom extensions, including new formats, templates, and filters, to enhance their document production process. Through hands-on exercises and real-world examples, you'll gain practical skills in:  
  
Developing and integrating custom formats to support diverse outputs while reducing repetition across projects.  
Substituting Quarto's templates with your own to customize formats beyond the built-in options.  
Implementing filters to automate and streamline content transformation.  
  
By the end of the workshop, you will be able to leverage Quarto's extensibility to create powerful, tailored solutions for your documentation needs. Whether you have just worked on a few Quarto projects or are an everyday user, this workshop will equip you with the tools and knowledge to take your document workflows to the next level.  
  
"
From R User to R Programmer,"## Session Title: From R User to R Programmer

**Speakers:** 
Emma Rand , Professor, University of York  
  
Ian Lyttle , Data Scientist, Schneider Electric

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Baker

**Session Info:**  
This is a one-day, hands-on workshop for intermediate R users who use the tidyverse and want to improve and reduce the amount of duplication in their code. You will learn the two main ways to reduce duplication: creating functions and using iteration.  
  
We will use a tidyverse approach to cover function design and iteration. When writing a function, you will learn how to deal with “data masking,” give default values to arguments, give unspecified arguments, and what side effects are and how to manage them. In the afternoon, you will learn how to iterate across the columns of a data frame using across(), what “anonymous” functions are, and how to read and write multiple files using purrr.  
  
This course is for you if you:  
have experience equivalent to an introductory data science course using tidyverse  
feel comfortable with the Whole game part of R for Data Science  
want to learn how to write functions and use iteration to reduce duplication in your code  
  
"
